hour_start_iso,hour_start_ms,open,high,low,close,volume,trades_count,vwap
2025-02-17T09:00:00+00:00,1739782800000,25.584,25.794,25.364,25.493,93217.09,,
2025-02-17T10:00:00+00:00,1739786400000,25.493,25.848,25.428,25.833,85174.05,,
2025-02-17T11:00:00+00:00,1739790000000,25.829,25.9,25.668,25.724,59487.95,,
2025-02-17T12:00:00+00:00,1739793600000,25.724,26.248,25.724,26.171,131087.68,,
2025-02-17T13:00:00+00:00,1739797200000,26.175,26.175,25.909,26.107,102966.43,,
2025-02-17T14:00:00+00:00,1739800800000,26.109,26.321,26.085,26.319,163217.33,,
2025-02-17T15:00:00+00:00,1739804400000,26.322,26.507,25.45,25.521,266673.32,,
2025-02-17T16:00:00+00:00,1739808000000,25.51,25.599,24.858,24.935,440282.75,,
2025-02-17T17:00:00+00:00,1739811600000,24.935,25.375,24.894,25.045,180602.18,,
2025-02-17T18:00:00+00:00,1739815200000,25.047,25.278,24.902,25.062,219237.25,,
2025-02-17T19:00:00+00:00,1739818800000,25.067,25.53,24.993,25.528,143723.47,,
2025-02-17T20:00:00+00:00,1739822400000,25.529,25.678,25.297,25.427,134418.0,,
2025-02-17T21:00:00+00:00,1739826000000,25.427,25.8,25.363,25.796,86189.73,,
2025-02-17T22:00:00+00:00,1739829600000,25.795,25.977,25.204,25.35,215582.22,,
2025-02-17T23:00:00+00:00,1739833200000,25.351,25.501,25.269,25.378,104230.54,,
2025-02-18T00:00:00+00:00,1739836800000,25.378,25.457,25.321,25.397,57970.45,,
2025-02-18T01:00:00+00:00,1739840400000,25.395,25.692,25.321,25.678,79822.36,,
2025-02-18T02:00:00+00:00,1739844000000,25.671,25.713,25.361,25.437,72591.07,,
2025-02-18T03:00:00+00:00,1739847600000,25.424,25.723,25.396,25.699,48563.56,,
2025-02-18T04:00:00+00:00,1739851200000,25.708,25.748,25.4,25.459,54884.07,,
2025-02-18T05:00:00+00:00,1739854800000,25.459,27.66,25.167,26.221,585311.7,,
2025-02-18T06:00:00+00:00,1739858400000,26.221,27.153,25.831,25.87,1391622.5600000001,,
2025-02-18T07:00:00+00:00,1739862000000,25.86,25.995,24.811,25.606,893833.48,,
2025-02-18T08:00:00+00:00,1739865600000,25.605,26.011,24.763,24.77,413741.72,,
2025-02-18T09:00:00+00:00,1739869200000,24.77,25.097,23.75,23.776,1006449.58,,
2025-02-18T10:00:00+00:00,1739872800000,23.755,24.519,23.701,23.87,572623.35,,
2025-02-18T11:00:00+00:00,1739876400000,23.871,24.15,23.721,23.935,358314.91,,
2025-02-18T12:00:00+00:00,1739880000000,23.936,24.158,23.511,24.028,444113.57,,
2025-02-18T13:00:00+00:00,1739883600000,24.03,24.887,23.989,24.626,630035.96,,
2025-02-18T14:00:00+00:00,1739887200000,24.636,24.874,23.815,23.912,361605.92,,
2025-02-18T15:00:00+00:00,1739890800000,23.912,24.057,23.33,23.446,774386.21,,
2025-02-18T16:00:00+00:00,1739894400000,23.446,23.87,22.901,22.987,741379.7,,
2025-02-18T17:00:00+00:00,1739898000000,23.002,23.351,22.221,22.322,1090298.3600000001,,
2025-02-18T18:00:00+00:00,1739901600000,22.325,23.4,22.3,23.026,834602.73,,
2025-02-18T19:00:00+00:00,1739905200000,23.034,23.659,22.76,23.616,383078.61,,
2025-02-18T20:00:00+00:00,1739908800000,23.616,23.74,22.6,23.199,691061.52,,
2025-02-18T21:00:00+00:00,1739912400000,23.198,23.936,23.101,23.34,551707.91,,
2025-02-18T22:00:00+00:00,1739916000000,23.339,24.04,23.232,23.802,369118.75,,
2025-02-18T23:00:00+00:00,1739919600000,23.802,24.153,23.72,24.087,179212.06,,
2025-02-19T00:00:00+00:00,1739923200000,24.085,24.209,23.606,23.65,177186.99,,
2025-02-19T01:00:00+00:00,1739926800000,23.649,23.818,23.402,23.752,160590.76,,
2025-02-19T02:00:00+00:00,1739930400000,23.752,24.327,23.731,24.192,142877.49,,
2025-02-19T03:00:00+00:00,1739934000000,24.2,24.283,23.878,24.083,138593.12,,
2025-02-19T04:00:00+00:00,1739937600000,24.084,24.22,22.733,22.754,386541.93,,
2025-02-19T05:00:00+00:00,1739941200000,22.753,23.1,22.5,22.831,333538.85,,
2025-02-19T06:00:00+00:00,1739944800000,22.823,23.431,22.816,23.374,190499.32,,
2025-02-19T07:00:00+00:00,1739948400000,23.374,23.444,23.166,23.373,161404.62,,
2025-02-19T08:00:00+00:00,1739952000000,23.364,23.406,22.687,22.775,184518.99,,
2025-02-19T09:00:00+00:00,1739955600000,22.775,23.173,22.694,22.844,226509.97,,
2025-02-19T10:00:00+00:00,1739959200000,22.843,23.375,22.774,23.199,265759.67,,
2025-02-19T11:00:00+00:00,1739962800000,23.2,23.465,23.073,23.445,152330.64,,
2025-02-19T12:00:00+00:00,1739966400000,23.445,23.539,23.065,23.107,264645.08,,
2025-02-19T13:00:00+00:00,1739970000000,23.119,23.444,23.103,23.178,127558.6,,
2025-02-19T14:00:00+00:00,1739973600000,23.179,23.437,22.94,22.979,195215.04,,
2025-02-19T15:00:00+00:00,1739977200000,22.979,23.445,22.939,23.274,173171.52,,
2025-02-19T16:00:00+00:00,1739980800000,23.265,23.75,23.234,23.688,215772.92,,
2025-02-19T17:00:00+00:00,1739984400000,23.69,23.87,23.426,23.829,162294.19,,
2025-02-19T18:00:00+00:00,1739988000000,23.828,23.868,23.531,23.618,163958.07,,
2025-02-19T19:00:00+00:00,1739991600000,23.609,24.2,23.562,23.935,220427.94,,
2025-02-19T20:00:00+00:00,1739995200000,23.936,24.418,23.901,24.353,318931.81,,
2025-02-19T21:00:00+00:00,1739998800000,24.353,24.361,23.764,23.943,249555.94,,
2025-02-19T22:00:00+00:00,1740002400000,23.939,24.377,23.862,24.3,140981.32,,
2025-02-19T23:00:00+00:00,1740006000000,24.281,24.514,23.947,24.063,265238.2,,
2025-02-20T00:00:00+00:00,1740009600000,24.058,24.429,23.999,24.429,113386.67,,
2025-02-20T01:00:00+00:00,1740013200000,24.418,24.5,24.21,24.224,104541.05,,
2025-02-20T02:00:00+00:00,1740016800000,24.213,24.776,24.175,24.666,150565.23,,
2025-02-20T03:00:00+00:00,1740020400000,24.73,24.827,24.531,24.672,199283.11,,
2025-02-20T04:00:00+00:00,1740024000000,24.669,25.0,24.66,24.812,176201.96,,
2025-02-20T05:00:00+00:00,1740027600000,24.8,24.876,24.611,24.717,119908.36,,
2025-02-20T06:00:00+00:00,1740031200000,24.71,24.727,24.256,24.559,141498.12,,
2025-02-20T07:00:00+00:00,1740034800000,24.573,24.64,24.299,24.561,87851.24,,
2025-02-20T08:00:00+00:00,1740038400000,24.572,24.764,24.279,24.682,139204.81,,
2025-02-20T09:00:00+00:00,1740042000000,24.69,24.929,24.602,24.844,160091.89,,
2025-02-20T10:00:00+00:00,1740045600000,24.849,25.107,24.733,25.06,113879.07,,
2025-02-20T11:00:00+00:00,1740049200000,25.072,25.255,24.881,24.985,175002.6,,
2025-02-20T12:00:00+00:00,1740052800000,24.993,25.188,24.597,24.746,155294.27,,
2025-02-20T13:00:00+00:00,1740056400000,24.745,25.062,24.535,24.726,286483.47,,
2025-02-20T14:00:00+00:00,1740060000000,24.726,24.966,24.503,24.621,375241.61,,
2025-02-20T15:00:00+00:00,1740063600000,24.619,24.721,24.0,24.058,200019.31,,
2025-02-20T16:00:00+00:00,1740067200000,24.058,24.495,24.0,24.307,243327.01,,
2025-02-20T17:00:00+00:00,1740070800000,24.307,24.63,24.206,24.628,137572.71,,
2025-02-20T18:00:00+00:00,1740074400000,24.625,24.966,24.525,24.626,179118.49,,
2025-02-20T19:00:00+00:00,1740078000000,24.641,24.705,24.43,24.563,128065.48,,
2025-02-20T20:00:00+00:00,1740081600000,24.563,24.894,24.25,24.686,380776.93,,
2025-02-20T21:00:00+00:00,1740085200000,24.684,24.697,24.132,24.193,134251.49,,
2025-02-20T22:00:00+00:00,1740088800000,24.218,24.389,24.172,24.224,106362.96,,
2025-02-20T23:00:00+00:00,1740092400000,24.224,24.47,24.162,24.448,85121.44,,
2025-02-21T00:00:00+00:00,1740096000000,24.443,24.668,24.427,24.65,95999.38,,
2025-02-21T01:00:00+00:00,1740099600000,24.651,24.791,24.523,24.612,91242.28,,
2025-02-21T02:00:00+00:00,1740103200000,24.612,24.742,24.519,24.573,56952.75,,
2025-02-21T03:00:00+00:00,1740106800000,24.572,24.811,24.572,24.783,66557.47,,
2025-02-21T04:00:00+00:00,1740110400000,24.783,25.0,24.769,24.986,117678.79,,
2025-02-21T05:00:00+00:00,1740114000000,24.978,25.225,24.8,25.02,208306.19,,
2025-02-21T06:00:00+00:00,1740117600000,25.019,25.27,25.005,25.198,123433.02,,
2025-02-21T07:00:00+00:00,1740121200000,25.193,25.275,24.854,24.864,118165.0,,
