hour_start_iso,hour_start_ms,close,volume,signal_score,rsi_14,macd,macd_signal,macd_hist,bb_percent_b,bb_up_20_2,bb_lo_20_2,vwap_24h,sma_50,sma_200,macd_bull_cross,macd_bear_cross,bb_breakout_up,bb_breakout_down,golden_cross_50_200,death_cross_50_200,trend_up,trend_down,price_above_vwap24h,price_below_vwap24h,rsi_overbought,rsi_oversold,reasons
2025-09-15 20:00:00+00:00,1757966400000,53.598,5.0,2,52.15465428219131,-0.3771029816996645,-0.393102915312334,0.0159999336126695,0.5985386813736608,54.60187043474251,52.10132956525749,53.31961242038859,53.96812,53.686565,1,0,0,0,0,0,0,1,1,0,0,0,"MACD_Cross_Up,Above_VWAP,Trend_Down"
2025-09-15 17:00:00+00:00,1757955600000,52.268,13.11,-2,30.41185280725739,-0.4756280798006216,-0.3532129903590201,-0.1224150894416014,-0.009758714702877,54.68929958609238,52.29140041390762,53.56984245181744,54.08201999999999,53.599585,0,0,0,1,0,0,0,1,0,1,0,0,"BB_Breakout_Down,Trend_Down,Below_VWAP"
2025-09-15 16:00:00+00:00,1757952000000,52.269,322617.94,-2,30.4204966821235,-0.4343962468718771,-0.3226092179986197,-0.1117870288732574,-0.1059007983977351,54.66076513721823,52.49803486278177,53.68427597162199,54.151439999999994,53.57447499999999,0,0,0,1,0,0,0,1,0,1,0,0,"BB_Breakout_Down,Trend_Down,Below_VWAP"
2025-09-15 14:00:00+00:00,1757944800000,52.599,3.0,-2,30.004685039024167,-0.3619808556329218,-0.2744398854805727,-0.0875409701523491,-0.1406754583464677,54.62984329922823,52.84945670077177,54.14977416269245,54.28514,53.51959,0,0,0,1,0,0,0,1,0,1,0,0,"BB_Breakout_Down,Trend_Down,Below_VWAP"
2025-09-15 13:00:00+00:00,1757941200000,53.032,1.5,-2,34.57141172353427,-0.3059966281780646,-0.2525546429424853,-0.0534419852355792,-0.0237262346436266,54.58657072904909,53.06802927095091,54.12037831830465,54.36754,53.48941,0,0,0,1,0,0,0,1,0,1,0,0,"BB_Breakout_Down,Trend_Down,Below_VWAP"
2025-09-15 08:00:00+00:00,1757923200000,53.226,209.63,-3,35.07392092215383,-0.239404558046715,-0.2088625773045063,-0.0305419807422086,-0.0785033339480376,54.78464739135323,53.339452608646766,54.14547075947709,54.60548,53.324765,0,1,0,1,0,0,0,1,0,1,0,0,"MACD_Cross_Down,BB_Breakout_Down,Trend_Down,Below_VWAP"
2025-09-15 03:00:00+00:00,1757905200000,54.098,18464.92,0,46.65828873629835,-0.2272921175964413,-0.2387463958519678,0.0114542782555265,0.4646416702368927,54.77555704009232,53.50994295990768,54.22766198606184,54.76072,53.13135499999999,1,0,0,0,0,0,0,1,0,1,0,0,"MACD_Cross_Up,Trend_Down,Below_VWAP"
2025-09-14 23:00:00+00:00,1757890800000,53.701,134101.23,-2,39.52862695925928,-0.2318502156199997,-0.2313936005200301,-0.0004566150999695,0.0701058501122225,54.96823866294521,53.60546133705479,54.3405033208086,54.868959999999994,52.97015999999999,0,1,0,0,0,0,0,1,0,1,0,0,"MACD_Cross_Down,Trend_Down,Below_VWAP"
2025-09-14 16:00:00+00:00,1757865600000,54.789,246441.61,2,52.20653804110156,-0.2714013659284404,-0.3096279493593016,0.0382265834308612,0.7571511083262079,55.139649056367645,53.69575094363236,54.47160025711119,55.10715999999999,52.708775,1,0,0,0,0,0,0,1,1,0,0,0,"MACD_Cross_Up,Above_VWAP,Trend_Down"
2025-09-14 12:00:00+00:00,1757851200000,53.739,167899.36,-2,36.7374883745995,-0.3466225646123462,-0.2960408193849926,-0.0505817452273535,-0.0747009922966665,55.23295709117308,53.84284290882693,54.78507982700263,55.25102,52.56298,0,0,0,1,0,0,0,1,0,1,0,0,"BB_Breakout_Down,Trend_Down,Below_VWAP"
2025-09-14 11:00:00+00:00,1757847600000,53.914,144397.07,-3,38.3935268352887,-0.3098580183615596,-0.2833953830781542,-0.0264626352834053,-0.0493720129678246,55.233231347153975,53.97606865284604,54.903153403429464,55.30612,52.53086999999999,0,1,0,1,0,0,0,1,0,1,0,0,"MACD_Cross_Down,BB_Breakout_Down,Trend_Down,Below_VWAP"
2025-09-14 08:00:00+00:00,1757836800000,54.49,78045.05,0,44.24144456876219,-0.2787276735041146,-0.2792658512460184,0.0005381777419037,0.3220931538175444,55.85471609817221,53.84158390182779,55.066823893890685,55.43066,52.429624999999994,1,0,0,0,0,0,0,1,0,1,0,0,"MACD_Cross_Up,Trend_Down,Below_VWAP"
2025-09-14 07:00:00+00:00,1757833200000,54.379,100965.14,-2,42.79597018937358,-0.2831945827672726,-0.2794003956814944,-0.0037941870857782,0.2731652255841096,56.23938613837996,53.67981386162004,55.08566568878926,55.477999999999994,52.395900000000005,0,1,0,0,0,0,0,1,0,1,0,0,"MACD_Cross_Down,Trend_Down,Below_VWAP"
2025-09-14 06:00:00+00:00,1757829600000,54.939,112989.92,0,48.711765205686376,-0.2734749712047133,-0.2784518489100498,0.0049768777053365,0.4583881126750455,56.41759456408785,53.68760543591215,55.10539602989535,55.53362,52.35999000000001,1,0,0,0,0,0,0,1,0,1,0,0,"MACD_Cross_Up,Trend_Down,Below_VWAP"
