ts,close,signal_score,score_smooth,rsi_14,bb_pctB,funding_bps,bull_regime,buy_alert,sell_alert,alert_confidence,alert_reasons
2025-02-18 16:00:00+00:00,22.987,-2,-1.4110195393393488,30.853068343795726,,,0,0,0,0.0,
2025-02-18 17:00:00+00:00,22.322,-3,-2.0466117236036094,26.964487114556633,,,0,0,0,0.0,
2025-02-18 18:00:00+00:00,23.026,-1,-1.6279670341621657,36.140500194558626,,,0,0,0,0.0,
2025-02-18 19:00:00+00:00,23.616,-1,-1.3767802204972994,42.64421117733863,,,0,0,0,0.0,
2025-02-18 20:00:00+00:00,23.199,-1,-1.2260681322983797,39.57632061544437,,,0,0,0,0.0,
2025-02-18 21:00:00+00:00,23.34,-1,-1.1356408793790278,41.118816623646985,,,0,0,0,0.0,
2025-02-18 22:00:00+00:00,23.802,-1,-1.0813845276274168,45.98448955343592,,,0,0,0,0.0,
2025-02-18 23:00:00+00:00,24.087,0,-0.6488307165764501,48.795497671778875,,,0,0,0,0.0,
2025-02-19 00:00:00+00:00,23.65,-1,-0.7892984299458701,44.93412953440767,,,0,0,0,0.0,
2025-02-19 01:00:00+00:00,23.752,-1,-0.873579057967522,46.00810278212368,,,0,0,0,0.0,
2025-02-19 02:00:00+00:00,24.192,1,-0.12414743478051316,50.49358955937395,,,0,0,0,0.0,
2025-02-19 03:00:00+00:00,24.083,1,0.3255115391316921,49.398737728733806,,,0,0,0,0.0,
2025-02-19 04:00:00+00:00,22.754,-1,-0.20469307652098476,38.4512840354466,,,0,0,0,0.0,
2025-02-19 05:00:00+00:00,22.831,-1,-0.5228158459125909,39.29074898512763,,,0,0,0,0.0,
2025-02-19 06:00:00+00:00,23.374,-1,-0.7136895075475546,44.98882548807832,,,0,0,0,0.0,
2025-02-19 07:00:00+00:00,23.373,-1,-0.8282137045285327,44.98045246912103,,,0,0,0,0.0,
2025-02-19 08:00:00+00:00,22.775,-1,-0.8969282227171196,40.16624779942257,,,0,0,0,0.0,
2025-02-19 09:00:00+00:00,22.844,-2,-1.3381569336302719,40.951558936291576,,,0,0,0,0.0,
2025-02-19 10:00:00+00:00,23.199,0,-0.8028941601781631,44.95451794627616,,,0,0,0,0.0,
2025-02-19 11:00:00+00:00,23.445,1,-0.0817364961068978,47.605169170744105,,,0,0,0,0.0,
2025-02-19 12:00:00+00:00,23.107,-1,-0.4490418976641387,44.43881389524122,,,0,0,0,0.0,
2025-02-19 13:00:00+00:00,23.178,-1,-0.6694251385984833,45.26241607172223,,,0,0,0,0.0,
2025-02-19 14:00:00+00:00,22.979,-1,-0.80165508315909,43.32397037817721,,,0,0,0,0.0,
2025-02-19 15:00:00+00:00,23.274,1,-0.08099304989545393,46.95096582501928,,,0,0,0,0.0,
2025-02-19 16:00:00+00:00,23.688,1,0.35140417006272767,51.62931701483508,,,0,0,0,0.0,
2025-02-19 17:00:00+00:00,23.829,1,0.6108425020376366,53.14488628059143,,,0,0,0,0.0,
2025-02-19 18:00:00+00:00,23.618,1,0.766505501222582,50.59036565020032,,,0,0,0,0.0,
2025-02-19 19:00:00+00:00,23.935,1,0.8599033007335491,54.15565814506072,,,0,0,0,0.0,
2025-02-19 20:00:00+00:00,24.353,1,0.9159419804401295,58.416596582101455,,,1,0,0,0.0,
2025-02-19 21:00:00+00:00,23.943,3,1.749565188264078,53.19413201385991,,,0,0,0,0.0,
2025-02-19 22:00:00+00:00,24.3,3,2.249739112958447,56.81445023985446,,,0,0,0,0.0,
2025-02-19 23:00:00+00:00,24.063,3,2.549843467775068,53.83734042757708,,,0,0,0,0.0,
2025-02-20 00:00:00+00:00,24.429,3,2.729906080665041,57.53780231925531,,,1,0,0,0.0,
2025-02-20 01:00:00+00:00,24.224,3,2.837943648399025,54.88400140135095,,,0,0,0,0.0,
2025-02-20 02:00:00+00:00,24.666,3,2.902766189039415,59.24829487718128,,,1,0,0,0.0,
2025-02-20 03:00:00+00:00,24.672,3,2.941659713423649,59.30584272626724,,,1,0,0,0.0,
2025-02-20 04:00:00+00:00,24.812,3,2.9649958280541897,60.700389315207694,,,1,0,0,0.0,
2025-02-20 05:00:00+00:00,24.717,3,2.978997496832514,59.2174248683153,,,1,0,0,0.0,
2025-02-20 06:00:00+00:00,24.559,3,2.9873984980995085,56.73482270345322,,,1,0,0,0.0,
2025-02-20 07:00:00+00:00,24.561,3,2.9924390988597054,56.75953457080359,,,1,0,0,0.0,
2025-02-20 08:00:00+00:00,24.682,3,2.995463459315823,58.31095353603581,,,1,0,0,0.0,
2025-02-20 09:00:00+00:00,24.844,3,2.997278075589494,60.36150296660026,,,1,0,0,0.0,
2025-02-20 10:00:00+00:00,25.06,3,2.9983668453536962,62.97637612070484,,,1,0,0,0.0,
2025-02-20 11:00:00+00:00,24.985,3,2.999020107212218,61.46030234604757,,,1,0,0,0.0,
2025-02-20 12:00:00+00:00,24.746,3,2.999412064327331,56.77017910790629,,,1,0,0,0.0,
2025-02-20 13:00:00+00:00,24.726,3,2.9996472385963986,56.382430601002696,,,1,0,0,0.0,
2025-02-20 14:00:00+00:00,24.621,2,2.5997883431578392,54.28608733578928,,,1,0,0,0.0,
2025-02-20 15:00:00+00:00,24.058,1,1.9598730058947036,44.69111780439219,,,0,0,0,0.0,
2025-02-20 16:00:00+00:00,24.307,1,1.5759238035368222,48.98571556979746,,,0,0,0,0.0,
2025-02-20 17:00:00+00:00,24.628,3,2.1455542821220934,53.94990671317437,,,1,0,0,0.0,
2025-02-20 18:00:00+00:00,24.626,3,2.487332569273256,53.91470420810674,,,1,0,0,0.0,
2025-02-20 19:00:00+00:00,24.563,3,2.6923995415639537,52.74714985692754,,,1,0,0,0.0,
2025-02-20 20:00:00+00:00,24.686,3,2.8154397249383725,54.80498083206333,,,1,0,0,0.0,
2025-02-20 21:00:00+00:00,24.193,1,2.0892638349630235,46.132973601786645,,,0,0,0,0.0,
2025-02-20 22:00:00+00:00,24.224,1,1.653558300977814,46.70404877078001,,,0,0,0,0.0,
2025-02-20 23:00:00+00:00,24.448,1,1.3921349805866885,50.76575548609951,,,1,0,0,0.0,
2025-02-21 00:00:00+00:00,24.65,3,2.0352809883520133,54.15857303332901,,,1,0,0,0.0,
2025-02-21 01:00:00+00:00,24.612,1,1.6211685930112079,53.41288669251071,,,1,0,0,0.0,
2025-02-21 02:00:00+00:00,24.573,1,1.3727011558067248,52.61223900614725,,,1,0,0,0.0,
2025-02-21 03:00:00+00:00,24.783,3,2.023620693484035,56.40191586058152,,,1,0,0,0.0,
2025-02-21 04:00:00+00:00,24.986,4,2.814172416090421,59.752612510573954,,,1,0,0,0.0,
2025-02-21 05:00:00+00:00,25.02,3,2.8885034496542525,60.302905512319576,,,1,0,0,0.0,
2025-02-21 06:00:00+00:00,25.198,3,2.9331020697925516,63.14402784885631,,,1,0,0,0.0,
2025-02-21 07:00:00+00:00,24.864,3,2.9598612418755312,55.165706160715686,,,1,0,0,0.0,
2025-02-21 08:00:00+00:00,24.999,3,2.975916745125319,57.50298064317842,,,1,0,0,0.0,
2025-02-21 09:00:00+00:00,25.206,3,2.9855500470751917,60.87132001190013,,,1,0,0,0.0,
2025-02-21 10:00:00+00:00,25.287,3,2.991330028245115,62.13600724876021,,,1,0,0,0.0,
2025-02-21 11:00:00+00:00,25.019,3,2.9947980169470694,55.71909035426536,,,1,0,0,0.0,
2025-02-21 12:00:00+00:00,25.179,3,2.9968788101682415,58.47617616901031,,,1,0,0,0.0,
2025-02-21 13:00:00+00:00,25.459,4,3.398127286100945,62.836988362467665,,,1,0,0,0.0,
2025-02-21 14:00:00+00:00,25.176,3,3.238876371660567,56.39095457747152,,,1,0,0,0.0,
2025-02-21 15:00:00+00:00,25.28,3,3.1433258229963403,58.09233814323062,,,1,0,0,0.0,
2025-02-21 16:00:00+00:00,25.493,3,3.0859954937978045,61.41280965169083,,,1,0,0,0.0,
2025-02-21 17:00:00+00:00,24.884,0,1.8515972962786826,49.36857314358406,,,1,0,0,0.0,
2025-02-21 18:00:00+00:00,24.654,1,1.5109583777672095,45.72156586190651,,,1,0,0,0.0,
2025-02-21 19:00:00+00:00,24.158,0,0.9065750266603256,39.02611405530997,,,0,0,0,0.0,
2025-02-21 20:00:00+00:00,24.562,1,0.9439450159961954,45.9668206703108,,,1,0,0,0.0,
2025-02-21 21:00:00+00:00,24.72,1,0.9663670095977173,48.438791307287865,,,1,0,0,0.0,
2025-02-21 22:00:00+00:00,24.817,1,0.9798202057586304,49.952575105014354,,,1,0,0,0.0,
2025-02-21 23:00:00+00:00,24.994,3,1.7878921234551783,52.68248853223911,,,1,0,0,0.0,
2025-02-22 00:00:00+00:00,24.978,3,2.2727352740731073,52.4042195527676,,,1,0,0,0.0,
