ts,close,strat_value,bh_value,target_pos,target_w
2019-09-24 00:00:00+00:00,8519.67,10000.0,10000.0,0,0.0
2019-09-25 00:00:00+00:00,8435.28,10000.0,9900.946867660366,0,0.0
2019-09-26 00:00:00+00:00,8064.41,10000.0,9465.63657982058,0,0.0
2019-09-27 00:00:00+00:00,8178.73,10000.0,9599.8201808286,0,0.0
2019-09-28 00:00:00+00:00,8208.07,10000.0,9634.25813441131,0,0.0
2019-09-29 00:00:00+00:00,8047.12,10000.0,9445.34236654706,0,0.0
2019-09-30 00:00:00+00:00,8292.35,10000.0,9733.182153768865,0,0.0
2019-10-01 00:00:00+00:00,8295.63,10000.0,9737.03206814348,0,0.0
2019-10-02 00:00:00+00:00,8363.74,10000.0,9816.976479135925,0,0.0
2019-10-03 00:00:00+00:00,8222.19,10000.0,9650.831546292282,0,0.0
2019-10-04 00:00:00+00:00,8144.09,10000.0,9559.161329018609,0,0.0
2019-10-05 00:00:00+00:00,8128.65,10000.0,9541.038561352723,0,0.0
2019-10-06 00:00:00+00:00,7866.87,10000.0,9233.773139100455,0,0.0
2019-10-07 00:00:00+00:00,8191.94,10000.0,9615.325476221493,0,0.0
2019-10-08 00:00:00+00:00,8180.7,10000.0,9602.132476962133,0,0.0
2019-10-09 00:00:00+00:00,8570.8,10000.0,10060.014061577498,0,0.0
2019-10-10 00:00:00+00:00,8559.93,10000.0,10047.255351439666,0,0.0
2019-10-11 00:00:00+00:00,8266.17,10000.0,9702.453264034872,0,0.0
2019-10-12 00:00:00+00:00,8299.85,10000.0,9741.985311637653,0,0.0
2019-10-13 00:00:00+00:00,8276.97,10000.0,9715.129811365927,0,0.0
2019-10-14 00:00:00+00:00,8349.0,10000.0,9799.675339537793,0,0.0
2019-10-15 00:00:00+00:00,8163.48,10000.0,9581.920426495386,0,0.0
2019-10-16 00:00:00+00:00,7995.35,9897.02308329291,9384.57710216475,1,0.5
2019-10-17 00:00:00+00:00,8073.01,9897.02308329291,9475.730867510121,0,0.0
2019-10-18 00:00:00+00:00,7946.04,9897.02308329291,9326.699273563407,0,0.0
2019-10-19 00:00:00+00:00,7956.07,9897.02308329291,9338.472030019937,0,0.0
2019-10-20 00:00:00+00:00,8220.22,9897.02308329291,9648.519250158744,0,0.0
2019-10-21 00:00:00+00:00,8200.03,9897.02308329291,9624.821149175961,0,0.0
2019-10-22 00:00:00+00:00,8017.72,9897.02308329291,9410.833987701397,0,0.0
2019-10-23 00:00:00+00:00,7466.85,9897.02308329291,8764.247911010634,0,0.0
2019-10-24 00:00:00+00:00,7415.47,9897.02308329291,8703.940410837506,0,0.0
2019-10-25 00:00:00+00:00,8653.66,9897.02308329291,10157.271349711897,0,0.0
2019-10-26 00:00:00+00:00,9231.81,9897.02308329291,10835.877445957407,0,0.0
2019-10-27 00:00:00+00:00,9530.88,9897.02308329291,11186.912169133302,0,0.0
2019-10-28 00:00:00+00:00,9198.09,9897.02308329291,10796.298448179325,0,0.0
2019-10-29 00:00:00+00:00,9408.43,9897.02308329291,11043.185944995517,0,0.0
2019-10-30 00:00:00+00:00,9154.99,9897.02308329291,10745.709634293342,0,0.0
2019-10-31 00:00:00+00:00,9142.65,9897.02308329291,10731.225505213224,0,0.0
2019-11-01 00:00:00+00:00,9230.4,9897.02308329291,10834.222452278074,0,0.0
2019-11-02 00:00:00+00:00,9288.85,9897.02308329291,10902.828395935518,0,0.0
2019-11-03 00:00:00+00:00,9203.46,9897.02308329291,10802.601509213378,0,0.0
