entry_ts,exit_ts,entry_price,exit_price,period_return_%,bars_held
2024-10-02 00:00:00+00:00,2024-10-30 00:00:00+00:00,60630.7,72475.12,19.535350903090354,28
2024-11-05 00:00:00+00:00,2024-11-07 00:00:00+00:00,69303.4,75920.18,9.547554665427672,2
2024-12-12 00:00:00+00:00,2024-12-13 00:00:00+00:00,99958.06,101431.14,1.4736980689701307,1
2024-12-14 00:00:00+00:00,2024-12-16 00:00:00+00:00,101443.21,105960.71,4.453230531644259,2
2024-12-26 00:00:00+00:00,2024-12-27 00:00:00+00:00,95840.79,94342.43,-1.5633844420522847,1
2025-01-02 00:00:00+00:00,2025-01-07 00:00:00+00:00,96856.15,96864.97,0.00910628803643121,5
2025-01-09 00:00:00+00:00,2025-01-18 00:00:00+00:00,92386.9,104499.99,13.111263609884105,9
2025-02-11 00:00:00+00:00,2025-03-03 00:00:00+00:00,95748.61,86292.76,-9.875704723024182,20
2025-03-24 00:00:00+00:00,2025-04-08 00:00:00+00:00,87320.92,76587.58,-12.291831098435512,15
2025-04-21 00:00:00+00:00,2025-04-23 00:00:00+00:00,87486.03,93510.87,6.88663092838937,2
2025-05-30 00:00:00+00:00,2025-07-11 00:00:00+00:00,104071.8,117426.49,12.832188931103339,42
2025-07-30 00:00:00+00:00,2025-08-14 00:00:00+00:00,117880.12,118094.4,0.1817778943557169,15
2025-08-19 00:00:00+00:00,2025-09-13 00:00:00+00:00,113000.0,115968.46,2.62695575221239,25
