ts,close,strat_value,bh_value,target_pos,target_w
2019-09-24 00:00:00+00:00,8519.67,10000.0,10000.0,0,0.0
2019-09-25 00:00:00+00:00,8435.28,9900.946867660366,9900.946867660366,1,1.0
2019-09-26 00:00:00+00:00,8064.41,9465.63657982058,9465.63657982058,1,1.0
2019-09-27 00:00:00+00:00,8178.73,9599.8201808286,9599.8201808286,1,1.0
2019-09-28 00:00:00+00:00,8208.07,9634.25813441131,9634.25813441131,1,1.0
2019-09-29 00:00:00+00:00,8047.12,9445.34236654706,9445.34236654706,1,1.0
2019-09-30 00:00:00+00:00,8292.35,9733.182153768865,9733.182153768865,1,1.0
2019-10-01 00:00:00+00:00,8295.63,9737.03206814348,9737.03206814348,1,1.0
2019-10-02 00:00:00+00:00,8363.74,9816.976479135925,9816.976479135925,1,1.0
2019-10-03 00:00:00+00:00,8222.19,9650.831546292282,9650.831546292282,1,1.0
2019-10-04 00:00:00+00:00,8144.09,9559.161329018609,9559.161329018609,1,1.0
2019-10-05 00:00:00+00:00,8128.65,9541.038561352723,9541.038561352723,1,1.0
2019-10-06 00:00:00+00:00,7866.87,9233.773139100455,9233.773139100455,1,1.0
2019-10-07 00:00:00+00:00,8191.94,9615.325476221493,9615.325476221493,1,1.0
2019-10-08 00:00:00+00:00,8180.7,9602.132476962133,9602.132476962133,1,1.0
2019-10-09 00:00:00+00:00,8570.8,10060.014061577498,10060.014061577498,1,1.0
2019-10-10 00:00:00+00:00,8559.93,10047.255351439666,10047.255351439666,1,1.0
2019-10-11 00:00:00+00:00,8266.17,9702.453264034872,9702.453264034872,1,1.0
2019-10-12 00:00:00+00:00,8299.85,9741.985311637653,9741.985311637653,1,1.0
2019-10-13 00:00:00+00:00,8276.97,9715.129811365927,9715.129811365927,1,1.0
2019-10-14 00:00:00+00:00,8349.0,9799.675339537793,9799.675339537793,1,1.0
2019-10-15 00:00:00+00:00,8163.48,9581.920426495386,9581.920426495386,1,1.0
2019-10-16 00:00:00+00:00,7995.35,9384.57710216475,9384.57710216475,1,1.0
2019-10-17 00:00:00+00:00,8073.01,9475.730867510121,9475.730867510121,1,1.0
2019-10-18 00:00:00+00:00,7946.04,9326.699273563407,9326.699273563407,1,1.0
2019-10-19 00:00:00+00:00,7956.07,9338.472030019937,9338.472030019937,1,1.0
2019-10-20 00:00:00+00:00,8220.22,9648.519250158744,9648.519250158744,1,1.0
2019-10-21 00:00:00+00:00,8200.03,9624.821149175961,9624.821149175961,1,1.0
2019-10-22 00:00:00+00:00,8017.72,9410.833987701397,9410.833987701397,1,1.0
2019-10-23 00:00:00+00:00,7466.85,8764.247911010634,8764.247911010634,1,1.0
2019-10-24 00:00:00+00:00,7415.47,8703.940410837506,8703.940410837506,1,1.0
2019-10-25 00:00:00+00:00,8653.66,10157.271349711897,10157.271349711897,1,1.0
2019-10-26 00:00:00+00:00,9231.81,10835.877445957407,10835.877445957407,1,1.0
2019-10-27 00:00:00+00:00,9530.88,11186.912169133302,11186.912169133302,1,1.0
2019-10-28 00:00:00+00:00,9198.09,10796.298448179325,10796.298448179325,1,1.0
2019-10-29 00:00:00+00:00,9408.43,11043.185944995517,11043.185944995517,1,1.0
2019-10-30 00:00:00+00:00,9154.99,10745.709634293342,10745.709634293342,1,1.0
2019-10-31 00:00:00+00:00,9142.65,10731.225505213224,10731.225505213224,1,1.0
2019-11-01 00:00:00+00:00,9230.4,10834.222452278074,10834.222452278074,1,1.0
2019-11-02 00:00:00+00:00,9288.85,10902.828395935518,10902.828395935518,1,1.0
2019-11-03 00:00:00+00:00,9203.46,10802.601509213378,10802.601509213378,1,1.0
2019-11-04 00:00:00+00:00,9391.41,11023.208645405273,11023.208645405273,1,1.0
2019-11-05 00:00:00+00:00,9301.49,10917.664651330386,10917.664651330386,1,1.0
2019-11-06 00:00:00+00:00,9346.85,10970.90615012083,10970.90615012083,1,1.0
2019-11-07 00:00:00+00:00,9210.1,10810.395238313215,10810.395238313215,1,1.0
2019-11-08 00:00:00+00:00,8781.14,10306.901558393687,10306.901558393687,1,1.0
2019-11-09 00:00:00+00:00,8810.15,10340.95217303017,10340.95217303017,1,1.0
2019-11-10 00:00:00+00:00,9039.3,10609.917989781286,10609.917989781286,1,1.0
2019-11-11 00:00:00+00:00,8731.92,10249.129367686768,10249.129367686768,1,1.0
2019-11-12 00:00:00+00:00,8821.69,10354.497298604281,10354.497298604281,1,1.0
2019-11-13 00:00:00+00:00,8791.21,10318.721265025515,10318.721265025515,1,1.0
2019-11-14 00:00:00+00:00,8645.97,10148.245178510426,10148.245178510426,1,1.0
2019-11-15 00:00:00+00:00,8473.65,9945.983823317092,9945.983823317092,1,1.0
2019-11-16 00:00:00+00:00,8495.01,9971.055216927409,9971.055216927409,1,1.0
2019-11-17 00:00:00+00:00,8511.33,9990.210888449896,9990.210888449896,1,1.0
2019-11-18 00:00:00+00:00,8186.59,9609.045890275085,9609.045890275085,1,1.0
2019-11-19 00:00:00+00:00,8133.77,9547.048183791148,9547.048183791148,1,1.0
2019-11-20 00:00:00+00:00,8094.38,9500.81399866426,9500.81399866426,1,1.0
2019-11-21 00:00:00+00:00,7634.12,8960.581806572312,8960.581806572312,1,1.0
2019-11-22 00:00:00+00:00,7282.49,8547.85455305193,8547.85455305193,1,1.0
2019-11-23 00:00:00+00:00,7314.92,8585.919407676582,8585.919407676582,1,1.0
2019-11-24 00:00:00+00:00,6905.31,8105.1378750585345,8105.1378750585345,1,1.0
2019-11-25 00:00:00+00:00,7121.63,8359.044423082107,8359.044423082107,1,1.0
2019-11-26 00:00:00+00:00,7151.05,8393.576277015416,8393.576277015416,1,1.0
2019-11-27 00:00:00+00:00,7515.75,8821.644500315146,8821.644500315146,1,1.0
2019-11-28 00:00:00+00:00,7424.67,8714.73895115655,8714.73895115655,1,1.0
2019-11-29 00:00:00+00:00,7737.13,9081.490245514195,9081.490245514195,1,1.0
2019-11-30 00:00:00+00:00,7548.08,8859.591979501545,8859.591979501545,1,1.0
2019-12-01 00:00:00+00:00,7396.18,8681.298688798972,8681.298688798972,1,1.0
2019-12-02 00:00:00+00:00,7296.97,8564.850516510609,8564.850516510609,1,1.0
2019-12-03 00:00:00+00:00,7281.25,8546.399097617623,8546.399097617623,1,1.0
2019-12-04 00:00:00+00:00,7195.68,8445.960935106634,8445.960935106634,1,1.0
2019-12-05 00:00:00+00:00,7381.97,8664.61963902357,8664.61963902357,1,1.0
2019-12-06 00:00:00+00:00,7529.99,8838.358762722022,8838.358762722022,1,1.0
2019-12-07 00:00:00+00:00,7491.51,8793.192694083215,8793.192694083215,1,1.0
2019-12-08 00:00:00+00:00,7509.15,8813.897721390607,8813.897721390607,1,1.0
2019-12-09 00:00:00+00:00,7345.27,8621.54285318562,8621.54285318562,1,1.0
2019-12-10 00:00:00+00:00,7227.39,8483.18068657588,8483.18068657588,1,1.0
2019-12-11 00:00:00+00:00,7208.17,8460.621127344126,8460.621127344126,1,1.0
2019-12-12 00:00:00+00:00,7200.81,8451.982295088887,8451.982295088887,1,1.0
2019-12-13 00:00:00+00:00,7253.02,8513.264011399495,8513.264011399495,1,1.0
2019-12-14 00:00:00+00:00,7068.94,8297.199304667896,8297.199304667896,1,1.0
2019-12-15 00:00:00+00:00,7121.19,8358.527971153804,8358.527971153804,1,1.0
2019-12-16 00:00:00+00:00,6893.47,8091.240623169669,8091.240623169669,1,1.0
2019-12-17 00:00:00+00:00,6619.91,7770.148374291483,7770.148374291483,1,1.0
2019-12-18 00:00:00+00:00,7270.83,8534.168576951914,8534.168576951914,1,1.0
2019-12-19 00:00:00+00:00,7147.99,8389.984588604948,8389.984588604948,1,1.0
2019-12-20 00:00:00+00:00,7181.29,8429.07060954238,8429.07060954238,1,1.0
2019-12-21 00:00:00+00:00,7137.74,8377.953606184268,8377.953606184268,1,1.0
2019-12-22 00:00:00+00:00,7504.57,8808.52192631873,8808.52192631873,1,1.0
2019-12-23 00:00:00+00:00,7321.46,8593.595761338163,8593.595761338163,1,1.0
2019-12-24 00:00:00+00:00,7276.31,8540.600750968044,8540.600750968044,1,1.0
2019-12-25 00:00:00+00:00,7200.1,8451.148929477306,8451.148929477306,1,1.0
2019-12-26 00:00:00+00:00,7208.33,8460.808928045324,8460.808928045324,1,1.0
2019-12-27 00:00:00+00:00,7249.98,8509.695798076675,8509.695798076675,1,1.0
2019-12-28 00:00:00+00:00,7308.62,8578.524755066794,8578.524755066794,1,1.0
2019-12-29 00:00:00+00:00,7391.07,8675.300803904365,8675.300803904365,1,1.0
2019-12-30 00:00:00+00:00,7244.3,8503.028873184045,8503.028873184045,1,1.0
2019-12-31 00:00:00+00:00,7197.33,8447.897629837766,8447.897629837766,1,1.0
2020-01-01 00:00:00+00:00,7195.65,8445.925722475155,8445.925722475155,1,1.0
2020-01-02 00:00:00+00:00,6961.8,8171.443260126262,8171.443260126262,1,1.0
2020-01-03 00:00:00+00:00,7345.65,8621.98887985097,8621.98887985097,1,1.0
2020-01-04 00:00:00+00:00,7349.45,8626.44914650449,8626.44914650449,1,1.0
2020-01-05 00:00:00+00:00,7364.19,8643.750286102619,8643.750286102619,1,1.0
2020-01-06 00:00:00+00:00,7777.53,9128.909922567413,9128.909922567413,1,1.0
2020-01-07 00:00:00+00:00,8174.34,9594.66739908939,9594.66739908939,1,1.0
2020-01-08 00:00:00+00:00,8051.97,9451.035075302201,9451.035075302201,1,1.0
2020-01-09 00:00:00+00:00,7824.32,9183.829890124842,9183.829890124842,1,1.0
2020-01-10 00:00:00+00:00,8195.0,9618.917164631954,9618.917164631954,1,1.0
2020-01-11 00:00:00+00:00,8026.42,9421.04565082919,9421.04565082919,1,1.0
2020-01-12 00:00:00+00:00,8185.42,9607.672597647552,9607.672597647552,1,1.0
2020-01-13 00:00:00+00:00,8102.27,9510.074920742227,9510.074920742227,1,1.0
2020-01-14 00:00:00+00:00,8847.12,10384.345872551392,10384.345872551392,1,1.0
2020-01-15 00:00:00+00:00,8817.79,10349.919656512508,10349.919656512508,1,1.0
2020-01-16 00:00:00+00:00,8730.0,10246.875759272356,10246.875759272356,1,1.0
2020-01-17 00:00:00+00:00,8915.59,10464.712835121536,10464.712835121536,1,1.0
2020-01-18 00:00:00+00:00,8917.29,10466.708217571799,10466.708217571799,1,1.0
2020-01-19 00:00:00+00:00,8718.51,10233.38932141737,10233.38932141737,1,1.0
2020-01-20 00:00:00+00:00,8644.33,10146.320221323118,10146.320221323118,1,1.0
2020-01-21 00:00:00+00:00,8754.88,10276.078768309091,10276.078768309091,1,1.0
2020-01-22 00:00:00+00:00,8670.36,10176.873047899735,10176.873047899735,1,1.0
2020-01-23 00:00:00+00:00,8414.87,9876.990540713425,9876.990540713425,1,1.0
2020-01-24 00:00:00+00:00,8451.96,9920.525090760548,9920.525090760548,1,1.0
2020-01-25 00:00:00+00:00,8344.78,9794.722096043619,9794.722096043619,1,1.0
2020-01-26 00:00:00+00:00,8612.12,10108.51359266262,10108.51359266262,1,1.0
2020-01-27 00:00:00+00:00,8914.11,10462.975678635434,10462.975678635434,1,1.0
2020-01-28 00:00:00+00:00,9380.14,11009.980433514434,11009.980433514434,1,1.0
2020-01-29 00:00:00+00:00,9300.85,10916.91344852558,10916.91344852558,1,1.0
2020-01-30 00:00:00+00:00,9526.47,11181.735912306453,11181.735912306453,1,1.0
2020-01-31 00:00:00+00:00,9352.98,10978.101264485585,10978.101264485585,1,1.0
2020-02-01 00:00:00+00:00,9388.81,11020.156884010752,11020.156884010752,1,1.0
2020-02-02 00:00:00+00:00,9332.83,10954.450113678098,10954.450113678098,1,1.0
2020-02-03 00:00:00+00:00,9299.8,10915.681006423943,10915.681006423943,1,1.0
2020-02-04 00:00:00+00:00,9195.95,10793.786613800756,10793.786613800756,1,1.0
2020-02-05 00:00:00+00:00,9610.31,11280.143479735703,11280.143479735703,1,1.0
2020-02-06 00:00:00+00:00,9766.99,11464.047316386652,11464.047316386652,1,1.0
2020-02-07 00:00:00+00:00,9815.0,11520.399264290738,11520.399264290738,1,1.0
2020-02-08 00:00:00+00:00,9903.38,11624.135676616565,11624.135676616565,1,1.0
2020-02-09 00:00:00+00:00,10153.53,11917.750335400297,11917.750335400297,1,1.0
2020-02-10 00:00:00+00:00,9850.16,11561.668468379627,11561.668468379627,1,1.0
2020-02-11 00:00:00+00:00,10228.72,12006.00492742088,12006.00492742088,1,1.0
2020-02-12 00:00:00+00:00,10348.98,12147.160629460983,12147.160629460983,1,1.0
2020-02-13 00:00:00+00:00,10217.13,11992.401114127642,11992.401114127642,1,1.0
2020-02-14 00:00:00+00:00,10344.17,12141.514870881132,12141.514870881132,1,1.0
2020-02-15 00:00:00+00:00,9898.96,11618.947682245891,11618.947682245891,1,1.0
2020-02-16 00:00:00+00:00,9928.33,11653.420848460075,11653.420848460075,1,1.0
2020-02-17 00:00:00+00:00,9708.77,11395.711336237184,11395.711336237184,1,1.0
2020-02-18 00:00:00+00:00,10158.14,11923.161343103646,11923.161343103646,1,1.0
2020-02-19 00:00:00+00:00,9601.99,11270.377843273254,11270.377843273254,1,1.0
2020-02-20 00:00:00+00:00,9608.23,11277.702070620087,11277.702070620087,1,1.0
2020-02-21 00:00:00+00:00,9670.0,11350.204878827448,11350.204878827448,1,1.0
2020-02-22 00:00:00+00:00,9664.01,11343.17409007624,11343.17409007624,1,1.0
2020-02-23 00:00:00+00:00,9949.57,11678.351391544487,11678.351391544487,1,1.0
2020-02-24 00:00:00+00:00,9657.21,11335.192560275202,11335.192560275202,1,1.0
2020-02-25 00:00:00+00:00,9319.74,10939.085668811098,10939.085668811098,1,1.0
2020-02-26 00:00:00+00:00,8790.39,10317.75878643185,10317.75878643185,1,1.0
2020-02-27 00:00:00+00:00,8802.94,10332.489403932295,10332.489403932295,1,1.0
2020-02-28 00:00:00+00:00,8694.33,10205.00794044838,10205.00794044838,1,1.0
2020-02-29 00:00:00+00:00,8528.54,10010.411201372806,10010.411201372806,1,1.0
2020-03-01 00:00:00+00:00,8545.65,10030.494138857473,10030.494138857473,1,1.0
2020-03-02 00:00:00+00:00,8900.76,10447.306057628974,10447.306057628974,1,1.0
2020-03-03 00:00:00+00:00,8758.86,10280.750310751455,10280.750310751455,1,1.0
2020-03-04 00:00:00+00:00,8748.23,10268.27330166542,10268.27330166542,1,1.0
2020-03-05 00:00:00+00:00,9062.79,10637.489480226328,10637.489480226328,1,1.0
2020-03-06 00:00:00+00:00,9140.03,10728.150268731044,10728.150268731044,1,1.0
2020-03-07 00:00:00+00:00,8886.71,10430.81480855477,10430.81480855477,1,1.0
2020-03-08 00:00:00+00:00,8036.46,9432.830144829533,9432.830144829533,1,1.0
2020-03-09 00:00:00+00:00,7939.79,9319.363308672735,9319.363308672735,1,1.0
2020-03-10 00:00:00+00:00,7888.99,9259.73658604146,9259.73658604146,1,1.0
2020-03-11 00:00:00+00:00,7926.4,9303.646737490986,9303.646737490986,1,1.0
2020-03-12 00:00:00+00:00,4824.58,5662.871918748015,5662.871918748015,1,1.0
