entry_ts,exit_ts,entry_price,exit_price,period_return_%,bars_held
2023-09-25 00:00:00+00:00,2023-10-02 00:00:00+00:00,26300.0,27544.99,4.733802281368837,7
2023-10-12 00:00:00+00:00,2023-10-17 00:00:00+00:00,26764.31,28403.58,6.124835648667948,5
2023-11-22 00:00:00+00:00,2023-12-03 00:00:00+00:00,37360.0,40020.0,7.119914346895073,11
2023-12-18 00:00:00+00:00,2024-01-03 00:00:00+00:00,42628.76,42823.2,0.45612398765526585,16
2024-01-04 00:00:00+00:00,2024-01-09 00:00:00+00:00,44146.81,46186.0,4.619110644687585,5
2024-01-13 00:00:00+00:00,2024-01-15 00:00:00+00:00,42815.6,42532.82,-0.6604602060931053,2
2024-01-17 00:00:00+00:00,2024-02-09 00:00:00+00:00,42788.24,47091.85,10.05792713138003,23
2024-04-01 00:00:00+00:00,2024-04-03 00:00:00+00:00,69700.0,66008.96,-5.295609756097552,2
2024-04-04 00:00:00+00:00,2024-04-14 00:00:00+00:00,68369.41,65780.16,-3.787146912632422,10
2024-04-28 00:00:00+00:00,2024-05-16 00:00:00+00:00,63137.36,65245.85,3.3395282919653324,18
2024-06-12 00:00:00+00:00,2024-07-16 00:00:00+00:00,68215.5,65029.3,-4.670785965066582,34
2024-08-01 00:00:00+00:00,2024-08-06 00:00:00+00:00,65392.96,56025.43,-14.324982383424755,5
2024-08-20 00:00:00+00:00,2024-08-24 00:00:00+00:00,59170.25,64114.27,8.355584098427826,4
2024-08-28 00:00:00+00:00,2024-09-20 00:00:00+00:00,59083.32,63163.2,6.905299160575273,23
2024-10-02 00:00:00+00:00,2024-10-30 00:00:00+00:00,60630.7,72475.12,19.535350903090354,28
2024-11-05 00:00:00+00:00,2024-11-07 00:00:00+00:00,69303.4,75920.18,9.547554665427672,2
2024-12-11 00:00:00+00:00,2024-12-16 00:00:00+00:00,101032.06,105960.71,4.878302986200622,5
2024-12-20 00:00:00+00:00,2025-01-07 00:00:00+00:00,97724.79,96864.97,-0.8798381659351651,18
2025-01-09 00:00:00+00:00,2025-01-18 00:00:00+00:00,92386.9,104499.99,13.111263609884105,9
2025-02-02 00:00:00+00:00,2025-03-04 00:00:00+00:00,97692.6,87241.5,-10.697944368355438,30
2025-03-19 00:00:00+00:00,2025-04-11 00:00:00+00:00,86886.37,83461.25,-3.942068243845376,23
2025-04-13 00:00:00+00:00,2025-04-14 00:00:00+00:00,83782.86,84605.87,0.9823130888584997,1
2025-04-17 00:00:00+00:00,2025-04-23 00:00:00+00:00,84956.18,93510.87,10.069532316542485,6
2025-05-30 00:00:00+00:00,2025-07-11 00:00:00+00:00,104071.8,117426.49,12.832188931103339,42
2025-07-30 00:00:00+00:00,2025-08-14 00:00:00+00:00,117880.12,118094.4,0.1817778943557169,15
2025-08-19 00:00:00+00:00,2025-09-13 00:00:00+00:00,113000.0,115968.46,2.62695575221239,25
