day_start_iso,day_start_ms,open,high,low,close,volume,trades_count,quote_volume,vwap,ts,ema50,ema200,macd_line,macd_signal,rsi14,score
2019-09-24T00:00:00+00:00,1569283200000,9637.93,9665.05,7996.45,8519.67,202.350799,2345,1739432.08920509,8596.12167483999,2019-09-24 00:00:00+00:00,8519.67,8519.67,0.0,0.0,,-3
2019-09-25T00:00:00+00:00,1569369600000,8528.12,8724.77,8247.78,8435.28,55.417971,763,469361.69055629,8469.485296679122,2019-09-25 00:00:00+00:00,8516.360588235295,8518.830298507462,-6.731965811966802,-1.3463931623933605,0.0,-2
2019-09-26T00:00:00+00:00,1569456000000,8434.45,8453.2,7761.87,8064.41,41.880079,1023,340923.6660137,8140.473326559389,2019-09-26 00:00:00+00:00,8498.637035755479,8514.308703497438,-41.51465166678827,-9.380044863272342,0.0,-2
2019-09-27T00:00:00+00:00,1569542400000,8078.75,8259.96,7858.58,8178.73,47.142904,990,379917.99846542,8058.858624097912,2019-09-27 00:00:00+00:00,8486.091661804283,8510.969611920349,-59.17339811524653,-19.33871551366718,7.737880553285933,-2
2019-09-28T00:00:00+00:00,1569628800000,8199.4,8320.51,8020.0,8208.07,21.24093,496,173568.97742342,8171.439641457319,2019-09-28 00:00:00+00:00,8475.188851537448,8507.95568543358,-69.99374478437858,-29.46972136780946,9.66975015979176,-2
2019-09-29T00:00:00+00:00,1569715200000,8210.66,8220.38,7916.9,8047.12,61.639171,948,494973.45560305,8030.177037959353,2019-09-29 00:00:00+00:00,8458.401837751666,8503.370255727774,-90.51289109456047,-41.67835531315966,8.60527683191063,-2
2019-09-30T00:00:00+00:00,1569801600000,8058.25,8322.99,7744.23,8292.35,112.009925,1962,891845.06773714,7962.196811908766,2019-09-30 00:00:00+00:00,8451.890000977091,8501.270551690683,-85.99515226527728,-50.54171470358319,22.588091619454048,-2
2019-10-01T00:00:00+00:00,1569888000000,8281.4,8498.23,8180.16,8295.63,49.861058,2161,416570.11959138,8354.618540011325,2019-10-01 00:00:00+00:00,8445.762157801519,8499.224377046994,-81.21395913959714,-56.67616359078598,22.75831145691774,-2
2019-10-02T00:00:00+00:00,1569974400000,8305.0,8367.97,8154.37,8363.74,31.814659,1234,262180.72939107,8240.878187349737,2019-10-02 00:00:00+00:00,8442.545602593616,8497.876273792795,-71.10921855235938,-59.56277458310066,26.378480849150463,-2
2019-10-03T00:00:00+00:00,1570060800000,8369.31,8386.65,8078.48,8222.19,40.654746,1701,333596.316655,8205.593429485452,2019-10-03 00:00:00+00:00,8433.904206413476,8495.133126789882,-73.67377543070688,-62.38497475262191,23.874165527809538,-2
2019-10-04T00:00:00+00:00,1570147200000,8227.57,8232.85,8005.25,8144.09,39.38286,1233,320004.18044125,8125.468298677393,2019-10-04 00:00:00+00:00,8422.538943416868,8491.640160354162,-81.07365588604262,-66.12271097930605,22.599311996539015,-2
2019-10-05T00:00:00+00:00,1570233600000,8134.38,8179.58,8015.49,8128.65,25.41557,1245,205823.36127318,8098.317734883774,2019-10-05 00:00:00+00:00,8411.013886812285,8488.028317962579,-87.17904762870057,-70.33397830918496,22.34527397601721,-2
